time	V(n002)	I(R2)
5.236636995242391e-002	-7.401404e-001	2.362977e-006
5.272279623528844e-002	-8.491895e-001	9.794131e-006
5.298265100686214e-002	-9.263979e-001	2.550296e-005
5.320823423320139e-002	-9.892827e-001	5.875187e-005
5.343863774142586e-002	-1.046548e+000	1.264454e-004
5.367703369371371e-002	-1.095498e+000	2.467096e-004
5.398899504146757e-002	-1.143290e+000	4.831076e-004
5.447727629146757e-002	-1.195616e+000	9.608855e-004
5.493532102705016e-002	-1.229617e+000	1.478965e-003
5.542360227705016e-002	-1.255316e+000	2.076895e-003
5.640016477705016e-002	-1.290730e+000	3.328626e-003
5.786500852705016e-002	-1.324660e+000	5.231504e-003
5.932985227705016e-002	-1.347725e+000	7.088352e-003
6.079469602705016e-002	-1.364895e+000	8.857630e-003
6.225953977705016e-002	-1.378292e+000	1.051302e-002
6.372438352705015e-002	-1.389007e+000	1.203449e-002
6.518922727705015e-002	-1.397668e+000	1.340556e-002
6.665407102705015e-002	-1.404664e+000	1.461232e-002
6.811891477705015e-002	-1.410250e+000	1.564298e-002
6.958375852705015e-002	-1.414595e+000	1.648774e-002
7.104860227705015e-002	-1.417814e+000	1.713868e-002
7.251344602705015e-002	-1.419984e+000	1.758977e-002
7.397828977705015e-002	-1.421152e+000	1.783687e-002
7.544313352705015e-002	-1.421344e+000	1.787771e-002
7.690797727705015e-002	-1.420563e+000	1.771191e-002
7.837282102705015e-002	-1.418793e+000	1.734100e-002
7.983766477705015e-002	-1.415996e+000	1.676838e-002
8.130250852705015e-002	-1.412107e+000	1.599934e-002
8.276735227705015e-002	-1.407028e+000	1.504104e-002
8.423219602705015e-002	-1.400614e+000	1.390254e-002
8.569703977705015e-002	-1.392648e+000	1.259482e-002
8.716188352705015e-002	-1.382803e+000	1.113094e-002
8.862672727705015e-002	-1.370563e+000	9.526286e-003
9.009157102705015e-002	-1.355060e+000	7.799291e-003
9.155641477705015e-002	-1.334690e+000	5.973256e-003
9.302125852705015e-002	-1.306004e+000	4.081742e-003
9.399782102705015e-002	-1.278142e+000	2.813419e-003
9.448610227705015e-002	-1.259332e+000	2.190326e-003
9.497438352705015e-002	-1.234854e+000	1.587584e-003
9.546266477705015e-002	-1.200624e+000	1.026302e-003
9.595094602705015e-002	-1.150151e+000	5.399207e-004
9.633538565657017e-002	-1.091403e+000	2.479730e-004
